title,price,currency,year,mileage,brand,model,trim,body_type,fuel_type,transmission,color,interior_color,cylinders,horsepower,engine_cc,doors,specs_origin,seller_type,location,url,photos_count,has_warranty,source,scraped_at,extraction_method,dealer,publish_date,is_new,listing_id,brand_origin,brand_tier,price_tier,car_age,price_per_age,mileage_per_year,quality_score,price_vs_market,cross_source_flag
New Mercedes-Benz V 300 2026,429000.0,AED,2026.0,0.0,Mercedes-Benz,V 300,,Unknown,Petrol,Automatic,,,,,,,Unknown,dealer,,https://www.dubicars.com/2026-mercedes-benz-v-300-original-mercedes-vip-captain-seats-2-years-international-warranty-971408.html,16,,dubicars,2026-04-28T13:24:58.168817,dom,,,True,971408.0,German,luxury,Luxury,0.0,,,78,-1.03,Potential Deal 🔥
New Mercedes-Benz E200 2026,320000.0,AED,2026.0,0.0,Mercedes-Benz,E200,,Unknown,Petrol,Automatic,,,,,,,GCC Spec,dealer,,https://www.dubicars.com/2026-mercedes-benz-e200-mercedes-benz-e200-gcc-specs-year-2026-brand-new-gargash-car-5-years-warranty-and-service-c-956382.html,15,,dubicars,2026-04-28T13:31:55.946283,dom,,,True,956382.0,German,luxury,Luxury,0.0,,,83,1.1,Above Market
New Mercedes-Benz E300 2026,295000.0,AED,2026.0,0.0,Mercedes-Benz,E300,,Unknown,Petrol,Automatic,,,,,,,Unknown,dealer,,https://www.dubicars.com/2026-mercedes-benz-e300-mercedes-e300-2026-972903.html,20,,dubicars,2026-04-28T13:31:03.189506,dom,,,True,972903.0,German,luxury,Luxury,0.0,,,78,-1.2,Normal
New Ferrari 12Cilindri 2026,2350000.0,AED,2026.0,97.0,Ferrari,12Cilindri,,Unknown,Petrol,Automatic,,,,,,,Unknown,dealer,,https://www.dubicars.com/2026-ferrari-12cilindri-full-carbon-2026-model-year-high-spec-954678.html,11,,dubicars,2026-04-28T15:00:59.426702,dom,,,True,954678.0,Italian,exotic,Exotic,0.0,,,78,,Normal
New Ferrari 296 GTS 2026,1299999.0,AED,2026.0,50.0,Ferrari,296 GTS,,Unknown,Petrol,Automatic,,,,,,,Unknown,dealer,,https://www.dubicars.com/2026-ferrari-296-gts-ferrari-296-gts-full-carbon-unique-970704.html,5,,dubicars,2026-04-28T14:55:37.927649,dom,,,True,970704.0,Italian,exotic,Ultra-Luxury,0.0,,,78,,Normal
New Ferrari 296 GTS 2026,1289999.0,AED,2026.0,50.0,Ferrari,296 GTS,,Unknown,Petrol,Automatic,,,,,,,Unknown,dealer,,https://www.dubicars.com/2026-ferrari-296-gts-296-gts-full-carbon-special-970705.html,6,,dubicars,2026-04-28T14:55:37.927426,dom,,,True,970705.0,Italian,exotic,Ultra-Luxury,0.0,,,78,,Normal
New Mercedes-Benz G 63 AMG 2026,587600.0,AED,2026.0,0.0,Mercedes-Benz,G 63 AMG,,SUV,Petrol,Automatic,,,,,,,Unknown,private,,https://www.dubicars.com/2026-mercedes-benz-g-63-amg-4matic-suv-962179.html,20,,dubicars,2026-04-28T13:33:25.862593,dom,,,True,962179.0,German,luxury,Ultra-Luxury,0.0,,,83,-1.46,Potential Deal 🔥
New Kia K4000 2026,47000.0,AED,2026.0,0.0,Kia,K4000,,Pickup,Petrol,Automatic,,,,,,,GCC Spec,dealer,,https://www.dubicars.com/2026-kia-k4000-single-cab-pickup-diesel-28l-2026-model-gcc-specs-944292.html,12,,dubicars,2026-04-28T15:37:57.816715,dom,,,True,944292.0,Korean,mainstream,Economy,0.0,,,88,,Normal
New Kia Bongo 2026,51000.0,AED,2026.0,0.0,Kia,Bongo,,Unknown,Petrol,Automatic,,,,,,,Unknown,dealer,,https://www.dubicars.com/2026-kia-bongo-907294.html,11,,dubicars,2026-04-28T15:37:29.443880,dom,,,True,907294.0,Korean,mainstream,Economy,0.0,,,78,,Normal
New Kia Sorento 2026,129500.0,AED,2026.0,0.0,Kia,Sorento,,SUV,Petrol,Automatic,,,,,,,Unknown,dealer,,https://www.dubicars.com/2026-kia-sorento-935504.html,16,,dubicars,2026-04-28T15:36:42.134772,dom,,,True,935504.0,Korean,mainstream,Premium,0.0,,,83,-0.05,Normal
New Kia Sportage 2026,87000.0,AED,2026.0,0.0,Kia,Sportage,,SUV,Petrol,Automatic,,,,,,,Unknown,dealer,,https://www.dubicars.com/2026-kia-sportage-kia-sportage-16l-2026-model-767478.html,14,,dubicars,2026-04-28T16:53:06.842165,dom,,,True,767478.0,Korean,mainstream,Mid-Range,0.0,,,83,0.0,Normal
New Kia K2700 2026,47000.0,AED,2026.0,0.0,Kia,K2700,,Pickup,Petrol,Automatic,,,,,,,GCC Spec,dealer,,https://www.dubicars.com/2026-kia-k2700-single-cab-pickup-diesel-28l-2026-model-gcc-specs-944288.html,13,,dubicars,2026-04-28T16:41:31.192581,dom,,,True,944288.0,Korean,mainstream,Economy,0.0,,,88,,Normal
New Kia Sportage 2026,94000.0,AED,2026.0,0.0,Kia,Sportage,,SUV,Petrol,Automatic,,,,,,,GCC Spec,dealer,,https://www.dubicars.com/2026-kia-sportage-brand-new-2026-kia-sportage-16t-4-cylinder-hatchback-gcc-export-ready-894553.html,22,,dubicars,2026-04-28T17:07:25.739779,dom,,,True,894553.0,Korean,mainstream,Mid-Range,0.0,,,88,0.24,Normal
New Mercedes-Benz G 63 AMG 2026,810000.0,AED,2026.0,0.0,Mercedes-Benz,G 63 AMG,,Unknown,Petrol,Automatic,,,,,,,Unknown,dealer,,https://www.dubicars.com/2026-mercedes-benz-g-63-amg-brand-new-g63-2026-in-stock-970807.html,23,,dubicars,2026-04-28T13:24:58.167505,dom,,,True,970807.0,German,luxury,Ultra-Luxury,0.0,,,78,-0.65,Below Market
